label,support_pos,support_neg,ap,auc,f1,precision,recall,accuracy,balanced_accuracy,mcc,specificity,lr_plus,tp,fp,fn,tn
garlic,24,1048,0.5487238312855227,0.955112913486005,0.5652173913043478,0.5909090909090909,0.5416666666666666,0.9813432835820896,0.7665394402035506,0.5562522096263804,0.9914122137404572,63.0740740667207,13,9,11,1039
geranium,11,1061,0.0834536446823471,0.8360894524890755,0.17391304347826086,0.16666666666666666,0.18181818181818182,0.9822761194029851,0.5861965555650671,0.16513167501680986,0.990574929311969,19.29090908885885,2,10,9,1051
grape,18,1054,0.28411350056164114,0.8476702508960573,0.34782608695652173,0.8,0.2222222222222222,0.9860074626865671,0.6106367278093967,0.4172714436352315,0.9990512333965835,234.22222197511348,4,1,14,1053
grapefruit,14,1058,0.3420456350157667,0.9528085336213881,0.42105263157894735,0.3333333333333333,0.5714285714285714,0.9794776119402985,0.778152849041297,0.4269078078549035,0.9848771266540635,37.785714283210986,8,16,6,1042
grassy,12,1060,0.0574447171001118,0.7519654088050315,0.18181818181818182,0.2,0.16666666666666666,0.9832089552238806,0.5795597484276656,0.17414246760635962,0.9924528301886784,22.083333330402855,2,8,10,1052
green,284,788,0.6457032329974919,0.8302441552870523,0.6115007012622721,0.5081585081585082,0.7676056338028169,0.7416044776119403,0.749919568170442,0.4502133861273899,0.7322335025380701,2.8666978172244377,218,211,66,577
hay,14,1058,0.07580091000053046,0.7812584391034296,0.18181818181818182,0.25,0.14285714285714285,0.9832089552238806,0.568593032676203,0.18096769069292756,0.9943289224952733,25.19047618602878,2,6,12,1052
hazelnut,10,1062,0.30887719687493687,0.9349340866290019,0.37037037037037035,0.29411764705882354,0.5,0.9841417910447762,0.7443502824858502,0.3760576337001313,0.9887005649717505,44.24999999607594,5,12,5,1050
herbal,147,925,0.4561256813194603,0.8148115462401175,0.48125,0.44508670520231214,0.5238095238095238,0.8451492537313433,0.7100128700128678,0.3927376543728082,0.8962162162162153,5.047123015824305,77,96,70,829
honey,29,1043,0.36421495658879316,0.8277184514166693,0.4090909090909091,0.6,0.3103448275862069,0.9757462686567164,0.6522960954805377,0.4207041487597105,0.9942473633748793,53.948275852680986,9,6,20,1037
hyacinth,12,1060,0.39716119755437246,0.932311320754717,0.42857142857142855,0.375,0.5,0.9850746268656716,0.7452830188679033,0.42564651662894326,0.9905660377358482,52.9999999943726,6,10,6,1050
jasmin,20,1052,0.3610169169100138,0.8449619771863118,0.3870967741935484,0.5454545454545454,0.3,0.9822761194029851,0.6476235741444788,0.39641907588614433,0.9952471482889725,63.11999998670516,6,5,14,1047
